DUT Resistance,Reference Temperature,Current set point,
88.178482864,-30.000088,-30.0,
88.200855131,-30.000088,-30.0,
88.200679921,-30.000088,-30.0,
88.177368868,-30.000088,-30.0,
88.181842142,-30.000088,-30.0,
88.902815545,-30.000088,-30.0,
88.182928993,-30.000088,-30.0,
88.214553441,-30.000088,-30.0,
88.248151725,-30.000088,-30.0,
88.19087793,-30.000088,-30.0,
DUT Resistance,Reference Temperature,Current set point,
92.120705192,-19.999486,-20.0,
92.136800385,-19.999486,-20.0,
92.145585632,-19.999486,-20.0,
92.110417119,-19.999486,-20.0,
92.126074936,-19.999486,-20.0,
92.587329304,-19.999486,-20.0,
92.12565384,-19.999486,-20.0,
92.148781192,-19.999486,-20.0,
92.187361132,-19.999486,-20.0,
92.129773798,-19.999486,-20.0,
DUT Resistance,Reference Temperature,Current set point,
99.966632315,-0.00031611275,0.0,
99.971460225,-0.00031611275,0.0,
99.997340221,-0.00031611275,0.0,
99.937926396,-0.00031611275,0.0,
99.977006102,-0.00031611275,0.0,
100.13957162,-0.00031611275,0.0,
99.972311744,-0.00031611275,0.0,
99.98104254,-0.00031611275,0.0,
100.02802965,-0.00031611275,0.0,
99.969860908,-0.00031611275,0.0,
DUT Resistance,Reference Temperature,Current set point,
111.64797729,29.999633,30.03,
111.6434646,29.999633,30.03,
111.68324239,29.999633,30.03,
111.59583923,29.999633,30.03,
111.66471879,29.999633,30.03,
111.68198607,29.999633,30.03,
111.65349449,29.999633,30.03,
111.64745602,29.999633,30.03,
111.70559276,29.999633,30.03,
111.6468445,29.999633,30.03,
DUT Resistance,Reference Temperature,Current set point,
115.51762579,40.000083,40.03,
115.51225906,40.000083,40.03,
115.55517322,40.000083,40.03,
115.45229756,40.000083,40.03,
115.53670635,40.000083,40.03,
115.54046869,40.000083,40.03,
115.52340324,40.000083,40.03,
115.51379644,40.000083,40.03,
115.57453738,40.000083,40.03,
115.51641233,40.000083,40.03,
